75,2.294
81.818,4.5731
88.636,4.7987
95.455,4.8479
102.27,5.7167
109.09,7.3499
115.91,7.3931
122.73,10.64
129.55,11.036
136.36,12.58
143.18,14.289
150,16.156
156.82,17.638
163.64,20.391
170.45,21.43
177.27,24.048
184.09,25.045
190.91,26.397
197.73,31.859
204.55,31.91
211.36,33.839
218.18,36.852
225,36.931
231.82,37.851
238.64,38.129
245.45,38.295
252.27,38.296
259.09,38.3
265.91,40.797
272.73,41.159
279.55,41.663
286.36,41.676
293.18,42.131
300,42.307
306.82,42.586
313.64,43.473
320.45,43.762
327.27,46.124
334.09,46.97
340.91,48.881
347.73,50.27
354.55,50.316
361.36,51.541
368.18,54.613
375,55.061
381.82,56.456
388.64,57.276
395.45,62.659
402.27,65.266
409.09,72.699
415.91,76.028
422.73,81.341
429.55,86.799
436.36,86.99
443.18,94.047
450,95.341
456.82,96.268
463.64,96.389
470.45,97.386
477.27,98.491
484.09,99.071
490.91,99.476
497.73,99.76
504.55,100.36
511.36,100.85
518.18,101.94
525,103.39
531.82,103.99
538.64,105.76
545.45,107.21
552.27,107.33
559.09,107.55
565.91,108
572.73,108.14
579.55,110.45
586.36,110.91
593.18,118.16
600,118.39
606.82,118.44
613.64,119.04
620.45,121.39
627.27,125.08
634.09,129.48
640.91,135.4
647.73,137
654.55,138.75
661.36,138.88
668.18,141.53
675,142.68
681.82,143.68
688.64,143.86
695.45,146.39
702.27,146.64
709.09,146.81
715.91,147.13
722.73,148.11
729.55,148.41
736.36,148.85
743.18,148.94
750,151.86
